,title,location,highest_speaker_count,country,city,specific_location,date,stanza,textblob,vader,subjectivity,Topic,geo_location,point,latitude,longitude,Coordinates,geometry,weighted
22,Announces_Candidacy,"Springfield, Illinois",0,United States of America,Springfield,no_specific_location,2007-02-10,-0.053,0.15,1.0,0.49,Topic 1,"Springfield, Sangamon County, Illinois, United States","(39.7990175, -89.6439575, 0.0)",39.7990175,-89.6439575,"(-89.6439575, 39.7990175)",POINT (-89.6439575 39.7990175),0.49
23,Gun_Violence_Exec_Order_23,unknown_location,0,United States of America,Washington D.C.,White House,2013-01-16,-0.233,0.139,-0.992,0.505,Topic 7,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),-0.50096
24,Barack_Obama_-_Jefferson-Jackson_Dinner,"Veterans Memorial Auditorium, Des Moines, Iowa",0,United States of America,Des Moines,Veterans Memorial Auditorium,2007-11-10,-0.305,0.106,0.989,0.402,Topic 23,,,,,"(nan, nan)",POINT (nan nan),0.39757800000000004
25,Fort_Bonifacio,"Manila, Philippines",0,Philippines,Manila,no_specific_location,2014-04-29,0.0,0.206,1.0,0.517,Topic 24,"Manila, Capital District, Metro Manila, Pilipinas / Philippines","(14.5948914, 120.9782618, 0.0)",14.5948914,120.9782618,"(120.9782618, 14.5948914)",POINT (120.9782618 14.5948914),0.517
26,State_of_the_Union_2015,unknown_location,0,United States of America,Washington D.C.,White House,2015-01-20,-0.112,0.158,1.0,0.45,Topic 15,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.45
27,USSC_Ruling_Affordable_Care_Act,"White House, Washington D.C.",0,United States of America,Washington D.C.,White House,2012-06-28,-0.125,0.167,1.0,0.499,Topic 5,"White House, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, United States","(38.897699700000004, -77.03655315, 0.0)",38.8976997,-77.03655315,"(-77.03655315, 38.8976997)",POINT (-77.03655315 38.8976997),0.499
28,Senate_Vote_Background_Check,"White House, Washington D.C.",0,United States of America,Washington D.C.,White House,2013-04-17,-0.27,0.06,-0.998,0.393,Topic 7,"White House, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, United States","(38.897699700000004, -77.03655315, 0.0)",38.8976997,-77.03655315,"(-77.03655315, 38.8976997)",POINT (-77.03655315 38.8976997),-0.392214
29,Comprehensive_Immigration_Reform,"American University, Washington D.C.",0,United States of America,Washington D.C.,American University,2010-07-01,-0.144,0.076,1.0,0.49,Topic 18,"American University, 4400, Massachusetts Avenue Northwest, Cathedral Heights, Washington, District of Columbia, 20016, United States","(38.93804505, -77.08939223651926, 0.0)",38.93804505,-77.08939223651926,"(-77.08939223651926, 38.93804505)",POINT (-77.08939223651926 38.93804505),0.49
30,Muammar_Qaddafi_Death,"White House, Washington D.C.",0,United States of America,Washington D.C.,White House,2011-10-21,-0.083,0.151,0.998,0.525,Topic 14,"White House, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, United States","(38.897699700000004, -77.03655315, 0.0)",38.8976997,-77.03655315,"(-77.03655315, 38.8976997)",POINT (-77.03655315 38.8976997),0.52395
31,Iraq_War_Responsibly_Ending,"White House, Washington D.C.",0,United States of America,Washington D.C.,White House,2011-10-21,0.078,0.194,0.999,0.459,Topic 9,"White House, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, United States","(38.897699700000004, -77.03655315, 0.0)",38.8976997,-77.03655315,"(-77.03655315, 38.8976997)",POINT (-77.03655315 38.8976997),0.45854100000000003
32,UNGA_2012,"New York, New York",0,United States of America,New York,no_specific_location,2012-09-25,-0.199,0.062,1.0,0.451,Topic 14,"City of New York, New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,"(-74.0060152, 40.7127281)",POINT (-74.00601519999999 40.7127281),0.451
33,MLK_Remembrance,"Vermont Avenue Baptist Church, Washington D.C.",0,United States of America,Washington D.C.,Vermont Avenue Baptist Church,2010-01-17,-0.133,0.091,1.0,0.46,Topic 1,"Vermont Avenue Baptist Church, 1630, Vermont Avenue Northwest, Logan Circle/Shaw, Washington, District of Columbia, 20005:20018, United States","(38.912027300000005, -77.0287509853597, 0.0)",38.912027300000005,-77.0287509853597,"(-77.0287509853597, 38.912027300000005)",POINT (-77.02875098535969 38.91202730000001),0.46
34,Sequester_Impact_Newport_News,"Newport News Shipbuilding, Newport News, Virginia",0,United States of America,Newport News,Newport News Shipbuilding,2013-02-26,-0.237,0.122,0.997,0.511,Topic 2,"Newport News Shipbuilding, Newport News, Virginia, United States","(36.99416165, -76.44414948067441, 0.0)",36.99416165,-76.44414948067441,"(-76.44414948067441, 36.99416165)",POINT (-76.44414948067441 36.99416165),0.509467
35,Jewish_American_Heritage_Month,"Adas Israel Congregation, Washington D.C.",1,United States of America,Washington D.C.,Adas Israel Congregation,2015-05-22,-0.062,0.182,1.0,0.505,Topic 12,"Adas Israel Congregation, 2850, Quebec Street Northwest, Northwest, Cleveland Park, Washington, District of Columbia, 20008, United States","(38.93679415, -77.05752080109374, 0.0)",38.93679415,-77.05752080109374,"(-77.05752080109374, 38.93679415)",POINT (-77.05752080109374 38.93679415),0.505
36,Farewell_Address,"McCormick Place, Chicago, Illinois",2,United States of America,Chicago,McCormick Place,2017-01-10,-0.076,0.185,1.0,0.5,Topic 23,"McCormick Place, McCormick Place Busway, Near South Side, Chicago, Cook County, Illinois, IL, United States","(41.8515481, -87.6164334, 0.0)",41.8515481,-87.6164334,"(-87.6164334, 41.8515481)",POINT (-87.61643340000001 41.8515481),0.5
37,Afghanistan_Troop_Reduction,"White House, Washington D.C.",0,United States of America,Washington D.C.,White House,2011-06-22,-0.101,0.106,0.998,0.428,Topic 9,"White House, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, United States","(38.897699700000004, -77.03655315, 0.0)",38.8976997,-77.03655315,"(-77.03655315, 38.8976997)",POINT (-77.03655315 38.8976997),0.42714399999999997
38,Sandy_Hook_Elementary_School,unknown_location,0,United States of America,Washington D.C.,White House,2012-12-14,-0.182,0.179,0.997,0.502,Topic 21,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.500494
39,Newtown_Vigil_Address,"Newtown, Connecticut",1,United States of America,Newtown,no_specific_location,2012-12-16,-0.054,0.135,1.0,0.519,Topic 21,"Newtown, Fairfield County, Connecticut, United States","(41.412387, -73.31153913634024, 0.0)",41.412387,-73.31153913634024,"(-73.31153913634024, 41.412387)",POINT (-73.31153913634024 41.412387),0.519
40,White_House_Correspondents_Dinner_2011,Washington D.C.,0,United States of America,Washington D.C.,no_specific_location,2011-04-30,-0.109,0.152,0.999,0.491,Topic 23,"Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,"(-77.0365427, 38.8950368)",POINT (-77.0365427 38.8950368),0.490509
41,Iran_Deal_American_University,Washington D.C.,0,United States of America,Washington D.C.,no_specific_location,2015-08-05,-0.306,0.108,0.999,0.45,Topic 3,"Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,"(-77.0365427, 38.8950368)",POINT (-77.0365427 38.8950368),0.44955
42,UNGA_68th_Session,"New York, New York",0,United States of America,New York,no_specific_location,2013-09-24,-0.179,0.057,1.0,0.425,Topic 3,"City of New York, New York, United States","(40.7127281, -74.0060152, 0.0)",40.7127281,-74.0060152,"(-74.0060152, 40.7127281)",POINT (-74.00601519999999 40.7127281),0.425
43,Weekly_Address_on_Cuba,unknown_location,0,United States of America,Washington D.C.,White House,2016-02-20,0.107,0.165,0.999,0.378,Topic 13,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.377622
44,Elena_Kagan_USSC_Nomination,unknown_location,0,United States of America,Washington D.C.,White House,2010-05-10,0.277,0.268,1.0,0.499,Topic 11,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.499
45,Joe_Biden_Medal_of_Freedom,"White House, Washington D.C.",0,United States of America,Washington D.C.,White House,2017-01-12,0.148,0.214,1.0,0.497,Topic 23,"White House, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, United States","(38.897699700000004, -77.03655315, 0.0)",38.8976997,-77.03655315,"(-77.03655315, 38.8976997)",POINT (-77.03655315 38.8976997),0.497
46,Chile_Latin_America,"Santiago, Chile",0,Chile,Santiago,no_specific_location,2011-03-21,0.027,0.176,1.0,0.474,Topic 13,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile","(-33.4377756, -70.6504502, 0.0)",-33.4377756,-70.6504502,"(-70.6504502, -33.4377756)",POINT (-70.65045019999999 -33.4377756),0.474
47,State_of_the_Nation_2009,unknown_location,0,United States of America,Washington D.C.,Senate,2009-02-24,-0.246,0.101,1.0,0.433,Topic 19,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.433
48,Comprehensive_Immigration_Reform_Vegas,"Del Sol HS, Las Vegas, Nevada",2,United States of America,Las Vegas,Del Sol HS,2013-01-29,-0.024,0.14,1.0,0.426,Topic 18,,,,,"(nan, nan)",POINT (nan nan),0.426
49,BRAIN_Initiative,"White House, Washington D.C.",0,United States of America,Washington D.C.,White House,2013-04-02,-0.011,0.223,1.0,0.497,Topic 25,"White House, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, United States","(38.897699700000004, -77.03655315, 0.0)",38.8976997,-77.03655315,"(-77.03655315, 38.8976997)",POINT (-77.03655315 38.8976997),0.497
50,Iraq_War_After_4_Years,Washington D.C.,0,United States of America,Washington D.C.,no_specific_location,2007-03-21,-0.164,0.158,-0.152,0.466,Topic 9,"Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,"(-77.0365427, 38.8950368)",POINT (-77.0365427 38.8950368),-0.070832
51,Carnegie_Mellon_Economy,"Pittsburgh, Pennsylvania",0,United States of America,Pittsburgh,no_specific_location,2010-06-02,-0.274,0.119,1.0,0.413,Topic 19,"Pittsburgh, Allegheny County, Pennsylvania, United States","(40.4416941, -79.9900861, 0.0)",40.4416941,-79.9900861,"(-79.9900861, 40.4416941)",POINT (-79.9900861 40.4416941),0.413
52,First_Presidential_Weekly_Address,unknown_location,0,United States of America,Washington D.C.,no_specific_location,2009-01-24,-0.267,0.132,0.995,0.428,Topic 19,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.42586
53,Global_Climate_Message,unknown_location,0,United States of America,Washington D.C.,no_specific_location,2008-11-18,-0.128,0.166,0.998,0.481,Topic 6,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.48003799999999996
54,American_Legion_Conference,"Minneapolis Convention Center, Minnesota",0,United States of America,San Francisco,Hilton San Francisco Union Square Hotel,2011-08-30,-0.014,0.202,1.0,0.45,Topic 24,"Minneapolis Convention Center, East Grant Street, Loring Park, Minneapolis, Hennepin County, Minnesota, 55403, United States","(44.96933115, -93.2737079434336, 0.0)",44.96933115,-93.2737079434336,"(-93.2737079434336, 44.96933115)",POINT (-93.27370794343361 44.96933115),0.45
55,Community_College_Plan,"Pellissippi State Community College, Knoxville, Tennessee",0,United States of America,Knoxville,Pellissippi State Community College,2015-01-09,0.0,0.181,1.0,0.444,Topic 15,"Pellissippi State Community College - Division Street, Division Street, Marble City, Knoxville, Knox County, Tennessee, 37919, United States","(35.95608045, -83.96456658317715, 0.0)",35.95608045,-83.96456658317715,"(-83.96456658317715, 35.95608045)",POINT (-83.96456658317715 35.95608045),0.444
56,Civil_Rights_Summit_LBJ,"Lyndon Baines Johnson Library, Austin, Texas",0,United States of America,Austin,Lyndon Baines Johnson Library,2014-04-10,-0.076,0.117,1.0,0.522,Topic 1,"Lyndon Baines Johnson Presidential Library, 2313, Robert Dedman Drive, Eastwoods, Austin, Travis County, Texas, 78712, United States","(30.2858948, -97.72928516466843, 0.0)",30.2858948,-97.72928516466844,"(-97.72928516466844, 30.2858948)",POINT (-97.72928516466844 30.2858948),0.522
57,State_of_the_Union_2011,Washington D.C.,0,United States of America,Washington D.C.,no_specific_location,2011-01-25,-0.097,0.152,1.0,0.418,Topic 15,"Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,"(-77.0365427, 38.8950368)",POINT (-77.0365427 38.8950368),0.418
58,Rosa_Parks_Statue_Dedication,unknown_location,0,United States of America,Washington D.C.,no_specific_location,2013-02-27,-0.17,-0.008,0.965,0.487,Topic 1,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.46995499999999996
59,Burundi_People_Message,unknown_location,0,United States of America,Washington D.C.,White House,2015-11-13,0.034,0.067,0.971,0.477,Topic 8,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.463167
60,Buchenwald_Concentration_Camp,unknown_location,0,United States of America,Notre Dame,Notre Dame University,2009-06-04,-0.148,0.079,0.99,0.489,Topic 21,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.48411
61,South_Carolina_AME_Church_Shooting,"White House, Washington D.C.",0,United States of America,Washington D.C.,White House,2015-06-18,-0.157,0.145,-0.872,0.443,Topic 21,"White House, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, United States","(38.897699700000004, -77.03655315, 0.0)",38.8976997,-77.03655315,"(-77.03655315, 38.8976997)",POINT (-77.03655315 38.8976997),-0.38629600000000003
62,State_of_the_Union_2013,Washington D.C.,0,United States of America,Washington D.C.,no_specific_location,2013-02-12,-0.093,0.153,1.0,0.436,Topic 2,"Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,"(-77.0365427, 38.8950368)",POINT (-77.0365427 38.8950368),0.436
63,Navy_Yard_Shooting_Memorial,"The Marine Barracks, Washington D.C.",0,United States of America,Washington D.C.,The Marine Barracks,2013-09-22,-0.119,0.128,0.999,0.51,Topic 21,,,,,"(nan, nan)",POINT (nan nan),0.50949
64,ISIL_Pentagon_Update,"The Pentagon, Washington D.C.",3,United States of America,Washington D.C.,The Pentagon,2015-07-06,-0.013,0.121,0.998,0.479,Topic 4,,,,,"(nan, nan)",POINT (nan nan),0.47804199999999997
65,Walter_Cronkite_Memorial,"Lincoln Center, New York, New York",1,United States of America,New York,Lincoln Center,2009-09-09,-0.111,0.172,1.0,0.514,Topic 23,"Lincoln Center, West 62nd Street, Lincoln Square, Manhattan, New York County, City of New York, New York, 10023, United States","(40.7713396, -73.9835065, 0.0)",40.7713396,-73.9835065,"(-73.9835065, 40.7713396)",POINT (-73.9835065 40.7713396),0.514
66,Chicago_Cubs_WH_Visit,Washington D.C.,1,United States of America,Washington D.C.,no_specific_location,2017-01-17,-0.025,0.178,1.0,0.484,Topic 23,"Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,"(-77.0365427, 38.8950368)",POINT (-77.0365427 38.8950368),0.484
67,Yangon_University,"Yangon, Myanmar",0,Myanmar,Yangon,no_specific_location,2012-11-19,-0.015,0.146,1.0,0.465,Topic 8,"Yangon, Western District, ရန်ကုန်တိုင်းဒေသကြီး, မြန်မာ","(16.7967129, 96.1609916, 0.0)",16.7967129,96.1609916,"(96.1609916, 16.7967129)",POINT (96.1609916 16.7967129),0.465
68,Benghazi_Attacks_Rose_Garden,"White House, Washington D.C.",0,United States of America,Washington D.C.,White House,2012-09-12,-0.022,0.058,0.987,0.527,Topic 14,"White House, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, United States","(38.897699700000004, -77.03655315, 0.0)",38.8976997,-77.03655315,"(-77.03655315, 38.8976997)",POINT (-77.03655315 38.8976997),0.520149
69,On_the_Passing_of_Nelson_Mandela,unknown_location,0,United States of America,Washington D.C.,White House,2013-12-05,0.214,0.284,1.0,0.543,Topic 8,"unknown, Gachoire Kiawambe, Nyanduma Sub  Location, Nyanduma Location, Nyanduma Ward, Kiambu, Central Kenya, Kenya","(-0.9999454, 36.7416612, 0.0)",-0.9999454,36.7416612,"(36.7416612, -0.9999454)",POINT (36.7416612 -0.9999454),0.543
70,Iraqi_Freedom_End,"White House, Washington D.C.",0,United States of America,Washington D.C.,White House,2010-08-31,-0.014,0.122,0.995,0.455,Topic 9,"White House, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, United States","(38.897699700000004, -77.03655315, 0.0)",38.8976997,-77.03655315,"(-77.03655315, 38.8976997)",POINT (-77.03655315 38.8976997),0.452725
71,COP21,"Le Bourget, Paris, France",0,France,Paris,Le Bourget,2015-11-30,-0.129,0.132,1.0,0.464,Topic 6,"Le Bourget, 42, Rue Vignon, Quartier de la Chaussée-d'Antin, Paris 9e Arrondissement, Paris, Île-de-France, France métropolitaine, 75009, France","(48.8727056, 2.32675, 0.0)",48.8727056,2.32675,"(2.32675, 48.8727056)",POINT (2.32675 48.8727056),0.464
72,Senate_Speech_on_Ohio_Electoral_Vote,Washington D.C.,0,United States of America,Washington D.C.,no_specific_location,2005-01-06,-0.208,0.183,0.994,0.57,Topic 23,"Washington, District of Columbia, United States","(38.8950368, -77.0365427, 0.0)",38.8950368,-77.0365427,"(-77.0365427, 38.8950368)",POINT (-77.0365427 38.8950368),0.56658
